Name,Ticker,Sector,Category,Weight
Husqvarna AB Class B,HUSQ.B-SE,Consumer Discretionary,ACWI ex-US,0.09703
Alimentation Couche-Tard Inc. Class B,ATD.B-CA,Consumer Staples,ACWI ex-US,0.096221
Smith & Nephew PLC,SN-GB,Health Care,ACWI ex-US,0.0961
SEGRO plc,SGRO-GB,Real Estate,ACWI ex-US,0.096084
Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,FEMSAUBD-MX,Consumer Staples,ACWI ex-US,0.096061
Flutter Entertainment Plc,FLTR-IE,Consumer Discretionary,ACWI ex-US,0.095872
China Resources Beer (Holdings) Co. Ltd.,291-HK,Consumer Staples,ACWI ex-US,0.094635
RWE AG,RWE-DE,Utilities,ACWI ex-US,0.094326
Singapore Exchange Ltd.,S68-SG,Financials,ACWI ex-US,0.094012
Deutsche Bank AG,DBK-DE,Financials,ACWI ex-US,0.093929
Imperial Brands PLC,IMB-GB,Consumer Staples,ACWI ex-US,0.093909
Grupo Financiero Banorte SAB de CV Class O,GFNORTEO-MX,Financials,ACWI ex-US,0.093616
M3 Inc.,2413-JP,Health Care,ACWI ex-US,0.092391
LG Chem Ltd.,051910-KR,Materials,ACWI ex-US,0.092266
Skanska AB Class B,SKA.B-SE,Industrials,ACWI ex-US,0.091755
Veolia Environnement SA,VIE-FR,Utilities,ACWI ex-US,0.091706
TATNEFT PJSC Sponsored ADR,ATAD-GB,Energy,ACWI ex-US,0.091508
NOVATEK JSC Sponsored GDR RegS,NVTK-GB,Energy,ACWI ex-US,0.091385
Amadeus IT Group SA Class A,AMS-ES,Information Technology,ACWI ex-US,0.091255
TELUS Corporation,T-CA,Communication Services,ACWI ex-US,0.091237
Svenska Handelsbanken AB Class A,SHB.A-SE,Financials,ACWI ex-US,0.09123
Next plc,NXT-GB,Consumer Discretionary,ACWI ex-US,0.09107
UniCredit S.p.A.,UCG-IT,Financials,ACWI ex-US,0.090536
Hermes International SCA,RMS-FR,Consumer Discretionary,ACWI ex-US,0.090391
Vonovia SE,VNA-DE,Real Estate,ACWI ex-US,0.090388
Samsung Electronics Co Ltd Pfd  Non-Voting,005935-KR,Information Technology,ACWI ex-US,0.090159
Yamaha Corporation,7951-JP,Consumer Discretionary,ACWI ex-US,0.090156
Z Holdings Corporation,4689-JP,Communication Services,ACWI ex-US,0.090058
Sun Hung Kai Properties Limited,16-HK,Real Estate,ACWI ex-US,0.089846
KB Financial Group Inc.,105560-KR,Financials,ACWI ex-US,0.089441
Repsol SA,REP-ES,Energy,ACWI ex-US,0.089049
Kia Corporation,000270-KR,Consumer Discretionary,ACWI ex-US,0.088224
Stellantis N.V.,STLA-IT,Consumer Discretionary,ACWI ex-US,0.088169
Rohm Co. Ltd.,6963-JP,Information Technology,ACWI ex-US,0.087901
Canadian Tire Corporation Limited Class A,CTC.A-CA,Consumer Discretionary,ACWI ex-US,0.087888
Singapore Telecommunications Limited,Z74-SG,Communication Services,ACWI ex-US,0.087851
Aviva plc,AV-GB,Financials,ACWI ex-US,0.087576
Neste Corporation,NESTE-FI,Energy,ACWI ex-US,0.087366
Suncorp Group Limited,SUN-AU,Financials,ACWI ex-US,0.087114
